clause_number,title,ucf_section,prescription_citation,last_updated,last_sync,source,status,applies_when,fill_ins,pcd_reference,disposition,rfo_number_or_pcd,post_rfo_date
52.222-33,,L,22.505,"Jan 15, 2026 3:28 PM","Jan 15, 2026 3:28 PM",FAR,updated (PCD 26-03B),,,,Updated,52.222-33,JAN 2026 (PCD 26-03)
52.222-34,,I,22.505,"May 7, 2025 5:02 PM","Sep 27, 2024 12:25 PM",FAR,updated (PCD 26-03B),,,,Updated,52.222-34,JAN 2026 (PCD 26-03)
52.226-7,,I,26.506,"Jan 4, 2025 2:15 AM","Jan 4, 2025 2:15 AM",FAR,no change (PCD 26-03B),,,,No Change,52.226-7,2024-05-01 00:00:00
52.226-8,,I,26.605,"Jan 4, 2025 2:15 AM","Jan 4, 2025 2:15 AM",FAR,no change (PCD 26-03B),,,,No Change,52.226-8,2024-05-01 00:00:00
52.217-10,,'-,17.805,"Mar 7, 2025 1:44 AM","Mar 7, 2025 1:44 AM",FAR,no change (PCD 26-03B),,,,No Change,52.217-10,2024-08-01 00:00:00
52.217-11,,'-,17.805,"Mar 7, 2025 1:45 AM","Mar 7, 2025 1:45 AM",FAR,no change (PCD 26-03B),,,,No Change,52.217-11,2024-08-01 00:00:00
52.217-12,,'-,17.805,"Mar 7, 2025 1:45 AM","Mar 7, 2025 1:45 AM",FAR,no change (PCD 26-03B),,,,No Change,52.217-12,2024-08-01 00:00:00
ARC 52.227-17,,I,ARC 52.227-17,"Nov 15, 2024 10:47 AM",'-,other,not in PCD 26-03B matrix (verify),,,,,,
ARC 52.227-93,,I,ARC 52.227-93,"Aug 11, 2025 7:07 AM",'-,other,not in PCD 26-03B matrix (verify),,,,,,
ARC 52.227-94,,H,ARC 52.227-94,"Aug 11, 2025 7:21 AM",'-,other,not in PCD 26-03B matrix (verify),,,,,,
ARC 52.227-96,,I,ARC 52.227-96,"Aug 11, 2025 7:41 AM",'-,other,not in PCD 26-03B matrix (verify),,,,,,
ARC 52.227-97,,L,ARC 52.227-97,"Aug 11, 2025 7:47 AM",'-,other,not in PCD 26-03B matrix (verify),,,,,,
ARC 52.227-98,,I,ARC 52.227-98,"Aug 11, 2025 7:51 AM",'-,other,not in PCD 26-03B matrix (verify),,,,,,
ARC 52.227-99,,I,ARC 52.227-99,"Nov 15, 2024 12:01 PM",'-,other,not in PCD 26-03B matrix (verify),,,,,,
ARC 52.231-90,,H,ARC 52.231-90,"Nov 15, 2024 12:05 PM",'-,other,not in PCD 26-03B matrix (verify),,,,,,
ARC 52.237-99,,H,ARC 52.237-99,"Nov 15, 2024 12:10 PM",'-,other,not in PCD 26-03B matrix (verify),,,,,,
ARC 52.230-90,,H,ARC 52.230-90,"Nov 15, 2024 12:15 PM",'-,other,not in PCD 26-03B matrix (verify),,,,,,
HQ 52.204-98,,H,HQ 52.204-98,"Nov 15, 2024 12:41 PM",'-,other,not in PCD 26-03B matrix (verify),,,,,,
HQ 52.204-99,,H,HQ 52.204-99,"Nov 15, 2024 12:45 PM",'-,other,not in PCD 26-03B matrix (verify),,,,,,
HQ 52.251-91,,H,HQ 52.251-91,"Nov 15, 2024 12:49 PM",'-,other,not in PCD 26-03B matrix (verify),,,,,,
KSC 52.211-92,,F,KSC 52.211-92,"Nov 15, 2024 12:53 PM",'-,other,not in PCD 26-03B matrix (verify),,,,,,
KSC 1852.223-73,,L,KSC 1852.223-73,"Nov 15, 2024 1:02 PM",'-,other,not in PCD 26-03B matrix (verify),,,,,,
KSC 52.223-121,,H,KSC 52.223-121,"Nov 15, 2024 1:42 PM",'-,other,not in PCD 26-03B matrix (verify),,,,,,
KSC 52.236-130,,H,KSC 52.236-130,"Nov 15, 2024 1:43 PM",'-,other,not in PCD 26-03B matrix (verify),,,,,,
KSC 52.242-90,,H,KSC 52.242-90,"Nov 15, 2024 1:56 PM",'-,other,not in PCD 26-03B matrix (verify),,,,,,
KSC 52.242-93,,H,KSC 52.242-93,"Nov 15, 2024 2:02 PM",'-,other,not in PCD 26-03B matrix (verify),,,,,,
KSC 52.242-93,,H,KSC 52.242-93,"Nov 15, 2024 2:08 PM",'-,other,not in PCD 26-03B matrix (verify),,,,,,
KSC 52.242-93,,H,KSC 52.242-93,"Nov 15, 2024 2:07 PM",'-,other,not in PCD 26-03B matrix (verify),,,,,,
KSC 52.245-90,,H,KSC 52.245-90,"Jun 3, 2026 12:20 PM",'-,other,not in PCD 26-03B matrix (verify),,,,,,
KSC 52.245-97,,H,KSC 52.245-97,"Nov 15, 2024 2:14 PM",'-,other,not in PCD 26-03B matrix (verify),,,,,,
GRC 52.211-109,,D,GRC 52.211-109,"Nov 15, 2024 3:19 PM",'-,other,not in PCD 26-03B matrix (verify),,,,,,
GRC 52.216-102,,H,GRC 52.216-102,"Nov 15, 2024 3:24 PM",'-,other,not in PCD 26-03B matrix (verify),,,,,,
GRC 1852.223-73,,L,GRC 1852.223-73,"Nov 15, 2024 3:27 PM",'-,other,not in PCD 26-03B matrix (verify),,,,,,
GRC 1852.223-73,,L,GRC 1852.223-73,"Nov 15, 2024 3:29 PM",'-,other,not in PCD 26-03B matrix (verify),,,,,,
GRC 52.223-97,,H,GRC 52.223-97,"Nov 15, 2024 3:31 PM",'-,other,not in PCD 26-03B matrix (verify),,,,,,
GRC 52.223-98,,H,GRC 52.223-98,"Nov 15, 2024 3:33 PM",'-,other,not in PCD 26-03B matrix (verify),,,,,,
GRC 52.225-90,,I,GRC 52.225-90,"Nov 15, 2024 3:35 PM",'-,other,not in PCD 26-03B matrix (verify),,,,,,
GRC 52.232-106,,G,GRC 52.232-106,"Nov 15, 2024 3:36 PM",'-,other,not in PCD 26-03B matrix (verify),,,,,,
GRC 52.232-110,,G,GRC 52.232-110,"Feb 21, 2025 3:01 PM",'-,other,not in PCD 26-03B matrix (verify),,,,,,
GRC 1852.235-74,,H,GRC 1852.235-74,"Nov 15, 2024 3:42 PM",'-,other,not in PCD 26-03B matrix (verify),,,,,,
GRC 52.235-90,,H,GRC 52.235-90,"Feb 21, 2025 3:02 PM",'-,other,not in PCD 26-03B matrix (verify),,,,,,
GRC 52.235-91,,L,GRC 52.235-91,"Nov 15, 2024 3:49 PM",'-,other,not in PCD 26-03B matrix (verify),,,,,,
GRC 52.236-13,,H,GRC 52.236-13,"Aug 1, 2025 9:25 AM",'-,other,not in PCD 26-03B matrix (verify),,,,,,
GRC 52.236-98,,H,GRC 52.236-98,"Nov 15, 2024 3:54 PM",'-,other,not in PCD 26-03B matrix (verify),,,,,,
GRC 52.237-91,,H,GRC 52.237-91,"Apr 23, 2025 3:42 PM",'-,other,not in PCD 26-03B matrix (verify),,,,,,
52.202-1,,I,2.201,"Jul 19, 2024 1:01 AM","Jul 19, 2024 1:01 AM",FAR,no change (PCD 26-03B),,,,No Change,52.202-1,2020-06-01 00:00:00
52.203-2,,K,3.103-1,"Mar 14, 2025 1:01 AM","Mar 14, 2025 1:01 AM",FAR,no change (PCD 26-03B),,,,No Change,52.203-2,1985-04-01 00:00:00
52.203-3,,I,3.202,"Feb 9, 2024 1:04 AM","Feb 9, 2024 1:04 AM",FAR,no change (PCD 26-03B),,,,No Change,52.203-3,1984-04-01 00:00:00
52.203-5,,I,3.404,"Feb 9, 2024 1:04 AM","Feb 9, 2024 1:04 AM",FAR,no change (PCD 26-03B),,,,No Change,52.203-5,2014-05-01 00:00:00
52.203-6,,I,3.503-2,"May 7, 2025 5:03 PM","Feb 9, 2024 1:04 AM",FAR,no change (PCD 26-03B),,,,No Change,52.203-6,2020-06-01 00:00:00
52.203-6,,I,3.503-2,"May 7, 2025 5:03 PM","Feb 9, 2024 1:05 AM",FAR,no change (PCD 26-03B),,,,No Change,52.203-6,2020-06-01 00:00:00
52.203-7,,I,3.502-3,"Sep 27, 2024 11:28 AM","Sep 27, 2024 11:28 AM",FAR,no change (PCD 26-03B),,,,No Change,52.203-7,2020-06-01 00:00:00
52.203-8,,I,3.104-9,"Sep 27, 2024 11:28 AM","Sep 27, 2024 11:28 AM",FAR,no change (PCD 26-03B),,,,No Change,52.203-8,2014-05-01 00:00:00
52.203-10,,I,3.104-9,"Sep 27, 2024 11:28 AM","Sep 27, 2024 11:28 AM",FAR,no change (PCD 26-03B),,,,No Change,52.203-10,2014-05-01 00:00:00
52.203-11,,K,3.808(a),"May 11, 2026 12:28 PM","Nov 8, 2024 1:02 AM",FAR,no change (PCD 26-03B),,,,No Change,52.203-11,2024-09-01 00:00:00
52.203-12,,I,3.808,"Dec 8, 2025 4:18 PM","Dec 8, 2025 4:18 PM",FAR,no change (PCD 26-03B),,,,No Change,52.203-12,2020-06-01 00:00:00
52.203-13,,I,3.1004(a),"May 11, 2026 12:28 PM","Sep 27, 2024 11:29 AM",FAR,no change (PCD 26-03B),,,,No Change,52.203-13,2021-11-01 00:00:00
52.203-14,,I,3.1004,"Mar 14, 2025 1:03 AM","Mar 14, 2025 1:03 AM",FAR,no change (PCD 26-03B),,,,No Change,52.203-14,2021-11-01 00:00:00
52.203-16,,I,3.1106,"Sep 27, 2024 11:29 AM","Sep 27, 2024 11:29 AM",FAR,no change (PCD 26-03B),,,,No Change,52.203-16,2020-06-01 00:00:00
52.203-18,,K,3.909-3,"Feb 9, 2024 1:06 AM","Feb 9, 2024 1:06 AM",FAR,no change (PCD 26-03B),,,,No Change,52.203-18,2017-01-01 00:00:00
52.203-19,,I,3.909-3,"Feb 9, 2024 1:06 AM","Feb 9, 2024 1:06 AM",FAR,no change (PCD 26-03B),,,,No Change,52.203-19,2017-01-01 00:00:00
52.204-2,,I,4.404,"May 7, 2025 5:04 PM","Jan 17, 2025 1:04 AM",FAR,moved (PCD 26-03B),,,,Moved,52.240-92,JAN 2026 (PCD 26-03)
52.204-2,,I,4.404,"May 7, 2025 5:04 PM","Jan 17, 2025 1:04 AM",FAR,moved (PCD 26-03B),,,,Moved,52.240-92,JAN 2026 (PCD 26-03)
52.204-2,,I,4.404,"May 7, 2025 5:05 PM","Jan 17, 2025 1:05 AM",FAR,moved (PCD 26-03B),,,,Moved,52.240-92,JAN 2026 (PCD 26-03)
52.204-4,,I,4.303,"Apr 4, 2025 12:42 PM","Apr 4, 2025 12:42 PM",FAR,not in PCD 26-03B matrix (verify),,,,,,
52.204-5,,K,4.607,"Mar 14, 2025 1:05 AM","Mar 14, 2025 1:05 AM",FAR,no change (PCD 26-03B),,,,No Change,52.204-5,2014-10-01 00:00:00
