psl,name,buying_location,mandatory_vehicles,required_coordination,applies
A-102.1,Aerospace fluids,KSC (KPLS),"KPLS coordination; excludes specialty gases, small/one-time buys",KPLS coordination,above the simplified acquisition threshold (A-100)
A-102.2,IT services,ITPO & NSSC,Mandatory NASA and governmentwide vehicles via Acquisition Navigator,ITPO/NSSC,above the simplified acquisition threshold (A-100)
A-102.3,Protective services,KSC South; GSFC East,NPSC-SR 80KSC022DA001; NPS-ER 80GSFC23DA004,HQ Office of Protective Services; AA approval; FFP; SB set-aside,above the simplified acquisition threshold (A-100)
A-102.4,Acquisition support,NSSC,AWASS 2.0 BPA 80NSSC24AA016 mandatory,NSSC coordination for task orders,above the simplified acquisition threshold (A-100)
A-102.5,Subscriptions,NSSC,All subscriptions through NSSC,NSSC coordination before purchase or renewal,above the simplified acquisition threshold (A-100)
A-102.6,Human capital,NSSC,NEHCSS 80NSSC23DA001/002/003,—,above the simplified acquisition threshold (A-100)
A-102.7,Aircraft,AFRC & JSC,80AFRC25D0008 NASA Flight Crew Training; 80JSC023DA017 CHARLES,Flight Operations Office concurrence before order issuance,above the simplified acquisition threshold (A-100)
A-102.8,Financial,GSFC; MSFC,GSFC PAAC 80GSFC25D0003; MSFC NFSS 80MSFC23DA003,—,above the simplified acquisition threshold (A-100)
A-102.9,PP&C,GSFC; MSFC,GSFC PAAC 80GSFC20D0001; MSFC CPSS 80MSFC21DA007,—,above the simplified acquisition threshold (A-100)
A-102.10,Custodial,NSSC,ECLPS BPA,OSI coordination; AA for OSI approval; AbilityOne permitted,above the simplified acquisition threshold (A-100)
A-102.11,Reserved,,,,above the simplified acquisition threshold (A-100)
A-102.12,Logistics,NSSC,NELSS BPA,OSI Logistics ERM coordination; FFP preferred,above the simplified acquisition threshold (A-100)
A-102.13,Construction,"AFRC, GRC, NSSC","Regional MACCs (SE, WR, NE)",OSI coordination; SB set-aside; MACC for $1M–$10M,above the simplified acquisition threshold (A-100)
A-102.14,A&E,"AFRC, GRC, KSC",GRC ERAE; KSC SERAE; NSSC RPMP; AFRC WRAES; USACE MOA,Buying location by Center alignment,above the simplified acquisition threshold (A-100)
A-102.15,Environmental restoration,KSC,NERCC 80KSC024DA001–005; USACE MOA; others,Buying location by Center alignment,above the simplified acquisition threshold (A-100)
A-102.16,Environmental services,NSSC,NESS BPAs 80KSC025A0001–0009,NSSC and OSI coordination; AA for OSI approval,above the simplified acquisition threshold (A-100)
A-102.17,Communications,KSC,NCS 80KSC023CA006,OCOMM coordination; AA for OCOMM approval; full and open; SB participation,above the simplified acquisition threshold (A-100)
A-102.18,OSTEM,GRC,GEARS 80GRC020D0003,OSTEM coordination; AA approval,above the simplified acquisition threshold (A-100)
A-102.19,Fire services,KSC,NFSC 80KSC022DA002; JSC TEST 3 80JSC022DA003,Protective Services coordination; FFP; SB set-aside,above the simplified acquisition threshold (A-100)
A-102.20,Facilities O&M,Center OPs,No single mandatory vehicle,Facilities O&M ERM for specialized services,above the simplified acquisition threshold (A-100)
A-102.21,SMA,Multiple Centers,Center SMA portfolio contracts,OSMA coordination for new or unique services,above the simplified acquisition threshold (A-100)
A-102.22,Engineering,Center OPs,No enterprise mandatory contract,Center Engineering and ERM coordination,above the simplified acquisition threshold (A-100)
A-102.23,Tech transfer,MSFC,CATTS 80MSFC24DA004,Technology Transfer ERM coordination,above the simplified acquisition threshold (A-100)
A-102.24,EEO,NSSC,"EEO BPAs; CART, PAS, SLI",NSSC coordination,above the simplified acquisition threshold (A-100)
A-102.25,Admin,"NSSC, AFRC, LaRC, GSFC",MCASS 80SSC025D0002; CATSS III 80AFRC23DA007; GLASS 80LARC24DA004,FFP; SB set-aside; GSFC AbilityOne,above the simplified acquisition threshold (A-100)
A-102.26,Utilities,Center OPs,None; FAR Part 41,,above the simplified acquisition threshold (A-100)
A-102.27,Energy,Center OPs,None; FAR Parts 23 and 41,Center energy stakeholders,above the simplified acquisition threshold (A-100)
A-102.28,Occupational health,Center OPs,Center-designated contracts,Occupational Health Directorates for new services,above the simplified acquisition threshold (A-100)
