section,subform,field_name,field_kind,caption,nearest_form_text,center_specific
HeaderWrapper,HeaderWrapper,Center,choiceList,Center,Special Approvals and Affirmations of Requisitions,
HeaderWrapper,HeaderWrapper,ReqNumber,textEdit,,Special Approvals and Affirmations of Requisitions,
HeaderWrapper,HeaderWrapper,ReqOrg,textEdit,Requesting Organization,Special Approvals and Affirmations of Requisitions,
HeaderWrapper,HeaderWrapper,RequirementDescription,textEdit,Brief Description of this Requirement,Special Approvals and Affirmations of Requisitions,
HeaderWrapper,HeaderWrapper,PurchaseType,choiceList,"items=['Requisition Number', 'P-Card Log Number']",Special Approvals and Affirmations of Requisitions,
HeaderWrapper,HeaderWrapper,Reviewer,textEdit,Reviewer,Special Approvals and Affirmations of Requisitions,
HeaderWrapper,HeaderWrapper,ApprovedDate,dateTimeEdit,Date,Special Approvals and Affirmations of Requisitions,
HeaderWrapper,HeaderWrapper,OtherCentersCheck,choiceList,Other Centers Impacted,Special Approvals and Affirmations of Requisitions,
HeaderWrapper,OtherCentersSection,OtherCentersDropDown,choiceList,Other Impacted Centers,,
HeaderWrapper,OtherCentersSection,OtherCentersText,textEdit,,,
HeaderWrapper,ApproverApproval,ApproverConcurrence,textEdit,Approver Approval,,
HeaderWrapper,ApproverApproval,ApproverConcurrenceSig,signature,Approver Approval,,
HeaderWrapper,GRC1Approval,GRC1Concurrence,textEdit,Requisitioner Approval,,GRC
HeaderWrapper,GRC1Approval,GRC1ConcurrenceSig,signature,Requisitioner Approval,,GRC
HeaderWrapper,GRC1Approval,TaskOrder,checkButton,"items=['1', '0', '2']","(This statement may be checked for task order or delivery order requirements to be issued under GRC Indefinite Delivery, Indefinite Quantity (IDIQ) contracts. Insert the signature date and PR No. from",GRC
HeaderWrapper,GRC1Approval,TaskOrderInput1,textEdit,,"The specific statements and affirmations included on NF 1707 signed on for PR No. apply to this requirement as well, and represent all statements and affirmations required by the Agency and GRC as of",GRC
HeaderWrapper,GRC1Approval,TaskOrderInput2,textEdit,,"The specific statements and affirmations included on NF 1707 signed on for PR No. apply to this requirement as well, and represent all statements and affirmations required by the Agency and GRC as of",GRC
HeaderWrapper,GRC1Approval,VerifyAcquisition,checkButton,"items=['1', '0', '2']",Acquisition Forecast Utilization,GRC
Section1,Section1,Available,checkButton,"items=['1', '0', '2']",SECTION 1 - NASA STRATEGIC SOURCING INITIATIVE (Ref. NFS 1808.003-72 and Office of Procurement Strategic Sourcing website),
Section1,Section1,MandatoryContractNum,textEdit,,The requestor has reviewed the information on the Office of Procurement NASA Strategic Sourcing website and the requirementIS AVAILABLE through Contract Number,
Section1,Section1,NotAvailable,checkButton,"items=['1', '0', '2']",The requestor has reviewed the information on the Office of Procurement NASA Strategic Sourcing website and the requirementIS AVAILABLE through Contract Number,
Section2,Section2,CITRAuth,textEdit,I. CITR Authorization #:,Please complete ONLY ONE of the following subsections,
Section2,Section2,ORCAAuth,textEdit,II. ORCA Authorization #:,Please complete ONLY ONE of the following subsections,
Section2,Section2,UnderLimitNoIT,checkButton,"items=['1', '0', '2']",III.,
Section2,Section2,NoITAuth,textEdit,No IT Authorization #:,"This procurement is valued less than $7.5M and does not contain information technology, based on the definition found in the INSTRUCTIONS BELOW",
Section2,Section2,NotReviewed,checkButton,"items=['1', '0', '2']","This procurement is valued less than $7.5M and does not contain information technology, based on the definition found in the INSTRUCTIONS BELOW",
Section3,Section3,S3n1,checkButton,"items=['1', '0', '2']",The Green Procurement Compilation (GPC) identifies applicable federal green/sustainability requirements for products and services. The requestor has searched the GPC to identify applicable federal gre,
Section3,Section3,S3n2,checkButton,"items=['1', '0', '2']","A. This procurement does not acquire any products or services listed in the GPC. (if checked, skip to subsection III below)",
Section3,Section3,S3n2s1,checkButton,"items=['1', '0', '2']","Bio-based/Bio-preferred, USDA-designated Items:",
Section3,Section3,S3n2s2,checkButton,"items=['1', '0', '2']",Energy Efficient:,
Section3,Section3,S3n2s3,checkButton,"items=['1', '0', '2']",SmartWay Transportation Services (helping freight transportation companies improve transportation efficiency),
Section3,Section3,S3n2s4,checkButton,"items=['1', '0', '2']",Environmentally Preferable: This procurement does acquire EPA-Designated Products or Services listed in the GPC in the following programs (check all that apply):,
Section3,Section3,S3n2s5Yes,checkButton,Yes,Are there sufficient EPEAT Silver- or Gold-registered products available to meet NASA needs?,
Section3,Section3,S3n2s5No,checkButton,No,Are there sufficient EPEAT Silver- or Gold-registered products available to meet NASA needs?,
Section3,Section3,S3n2s6,checkButton,"items=['1', '0', '2']",Are there sufficient EPEAT Silver- or Gold-registered products available to meet NASA needs?,
Section3,Section3,S3n2s7Yes,checkButton,Yes,Will NASA be able to independently verify the accuracy of contractor estimates of the amount and (if applicable) percentages of recovered material used in actual contract performance?,
Section3,Section3,S3n2s7No,checkButton,No,Will NASA be able to independently verify the accuracy of contractor estimates of the amount and (if applicable) percentages of recovered material used in actual contract performance?,
Section3,Section3,S3n2s8,checkButton,"items=['1', '0', '2']",Will NASA be able to independently verify the accuracy of contractor estimates of the amount and (if applicable) percentages of recovered material used in actual contract performance?,
Section3,Section3,S3n2s9,checkButton,"items=['1', '0', '2']",Non-Ozone Depleting Substances (a.k.a. the Significant New Alternatives Policy (SNAP) program); and/or,
Section3s2,Section3s2,S3s2n1,checkButton,"items=['1', '0', '2']",II. Memo Regarding / Waiver of Specified Sustainability Standards,
Section3s2,Section3s2,S3s2n1s1,checkButton,"items=['1', '0', '2']","This procurement does acquire products or services listed in the GPC; however, for reasons explained in the attached memo / waiver (include any necessary documentation (also attached) fully supporting",
Section3s2,Section3s2,S3s2n1s2,checkButton,"items=['1', '0', '2']",The attached memo/waiver is fully approved.,
Section3s3,Section3s3,S3s3n1,checkButton,"items=['1', '0', '2']",This form is the NASA Environmental Review Form (NERF) and can be accessed via this link: NERF MAIN (nasa.gov),
Section3s3,Section3s3,S3n3n1Info,textEdit,CatEx number,Fits within the following Categorical Exclusion (CatEx) with no Extraordinary Circumstances identified:,
Section3s3,Section3s3,S3s3n2,checkButton,"items=['1', '0', '2']",Fits within the following Categorical Exclusion (CatEx) with no Extraordinary Circumstances identified:,
Section3s3,Section3s3,S3s3n3,checkButton,"items=['1', '0', '2']","Fits within the list of excluded activities that do not require completion of a checklist,",
Section3Old,Section3Old,S3n1,checkButton,"items=['1', '0', '2']",Ref. FAR subpart 23.1 and NPR 8530.1. The request originator has searched the Green Procurement Compilation (GPC) to identify applicable federal green/sustainable acquisition requirements for products,
Section3Old,Section3Old,S3n2n1,checkButton,"items=['1', '0', '2']",This procurement does not acquire any products or services listed in the GPC.,
Section3Old,Section3Old,S3n1s1,checkButton,"items=['1', '0', '2']",This procurement does acquire products or services listed in the GPC in the following programs (check all that apply):,
Section3Old,Section3Old,S3n1s2,checkButton,"items=['1', '0', '2']",EPA's Comprehensive Procurement Guidelines,
Section3Old,Section3Old,S3n1s3,checkButton,"items=['1', '0', '2']",Electronic Product Environmental Assessment Tool (EPEAT),
Section3Old,Section3Old,S3n1s4,checkButton,"items=['1', '0', '2']",EPA's Significant New Alternatives Policy (SNAP) Program,
Section3Old,Section3Old,S3n1s5,checkButton,"items=['1', '0', '2']",EPA's Watersense Program,
Section3Old,Section3Old,S3n1s6,checkButton,"items=['1', '0', '2']",Energy Star,
Section3Old,Section3Old,S3n1s7,checkButton,"items=['1', '0', '2']",FEMP (Federal Energy Management Program) Energy Efficient Products,
Section3Old,Section3Old,S3n2,checkButton,"items=['1', '0', '2']",USDA's Biopreferred Designated Products,
Section3Old,Section3Old,S3n3,checkButton,"items=['1', '0', '2']",The specifications or statement of work include applicable sustainable acquisition program requirements.,
Section3Old,KSC2,ProductsDD,choiceList,GPC Products to be procured or,,KSC
Section3Old,KSC2,ServicesDD,choiceList,GPC Services to be procured,,KSC
Section3Old,KSC2,InputStandard,textEdit,Non-GPC Products or Services,,KSC
Section3Old,KSC2,Waiver,checkButton,"items=['1', '0', '2']",KSC Waiver for Sustainable Acquisition,KSC
Section3Old,KSC2,Waiver1,checkButton,Inadequate competition,This procurement requires the purchase of products or services listed in the GPC; however the originator request a waiver from this requirement due to once of the following reasons (check all that app,KSC
Section3Old,KSC2,Waiver2,checkButton,Unreasonable price,This procurement requires the purchase of products or services listed in the GPC; however the originator request a waiver from this requirement due to once of the following reasons (check all that app,KSC
Section3Old,KSC2,Waiver3,checkButton,Lack of quality / performance specification or standard,This procurement requires the purchase of products or services listed in the GPC; however the originator request a waiver from this requirement due to once of the following reasons (check all that app,KSC
Section3Old,KSC2,Waiver4,checkButton,Unavailable within reasonable time frame,This procurement requires the purchase of products or services listed in the GPC; however the originator request a waiver from this requirement due to once of the following reasons (check all that app,KSC
Section3Old,KSC2Approval,KSC2Concurrence,textEdit,KSC Environmental Management Branch Approval,,KSC
Section3Old,KSC2Approval,KSC2ConcurrenceSig,signature,KSC Environmental Management Branch Approval,,KSC
Section3Old,ARC1,ProductsDD,choiceList,GPC Products to be procured or,,ARC
Section3Old,ARC1,ServicesDD,choiceList,GPC Services to be procured,,ARC
Section3Old,ARC1,InputStandard,textEdit,Non-GPC Products or Services,,ARC
Section3Old,ARC1,Waiver,checkButton,"items=['1', '0', '2']",Waiver for Sustainable Acquisition,ARC
Section3Old,ARC1,Waiver1,checkButton,Inadequate competition,This procurement requires the purchase of products or services listed in the GPC; however the originator requests a waiver from this requirement due to one or more of the following reasons (check all,ARC
Section3Old,ARC1,Waiver2,checkButton,Unreasonable price,This procurement requires the purchase of products or services listed in the GPC; however the originator requests a waiver from this requirement due to one or more of the following reasons (check all,ARC
Section3Old,ARC1,Waiver3,checkButton,Lack of quality / performance specification or standard,This procurement requires the purchase of products or services listed in the GPC; however the originator requests a waiver from this requirement due to one or more of the following reasons (check all,ARC
Section3Old,ARC1,Waiver4,checkButton,Unavailable within reasonable time frame,This procurement requires the purchase of products or services listed in the GPC; however the originator requests a waiver from this requirement due to one or more of the following reasons (check all,ARC
Section3Old,ARC1Approval,ARC1Concurrence,textEdit,Environmental Management Branch Approval,,ARC
Section3Old,ARC1Approval,ARC1ConcurrenceSig,signature,Environmental Management Branch Approval,,ARC
Section3Old,LaRC1,LaRCc1,checkButton,"items=['1', '0', '2']",Ref. NPR 8580.1 and LPR 8500.1. The Requestor has confirmed that National Environmental Policy Act (NEPA) environmental review has been completed.,LaRC
Section3Old,LaRC1,LaRCc2,checkButton,"items=['1', '0', '2']",Action meets requirements of the Langley Research Center Excluded Activities List and no further NEPA environmental review is required.,LaRC
Section3Old,LaRC1,LaRCInput1,textEdit,Number,NEPA environmental review for this action is completed under LF461,LaRC
Section3Old,JSC1s1,ProductsDD,choiceList,GPC Products to be procured or,,JSC
Section3Old,JSC1s1,ServicesDD,choiceList,GPC Services to be procured,,JSC
Section3Old,JSC1s1,InputStandard,textEdit,Non-GPC Products or Services,,JSC
Section3Old,JSC1s1,JSC1s1cb1,checkButton,"items=['1', '0', '2']",JSC Excess Property Reutilization and Waiver for Sustainable Acquisition,JSC
Section3Old,JSC1s1,JSC1s1cb2,checkButton,"items=['1', '0', '2']","This procurement requires products/equipment not currently found in an acceptable condition at the JSC Excess Property Redistribution and Re-utilization (*R&U) warehouse, or at any other NASA Center o",JSC
