section,subform,field_name,field_kind,caption_full,nearest_form_text_full,choice_items,center_specific,is_answerable
HeaderWrapper,HeaderWrapper,Center,choiceList,Center,Special Approvals and Affirmations of Requisitions,ARC|AFRC|GRC|GSFC|HQ|JSC|KSC|LaRC|MSFC|NMO|NSSC|SSC,,yes
HeaderWrapper,HeaderWrapper,ReqNumber,textEdit,,Special Approvals and Affirmations of Requisitions,,,yes
HeaderWrapper,HeaderWrapper,ReqOrg,textEdit,Requesting Organization,Special Approvals and Affirmations of Requisitions,,,yes
HeaderWrapper,HeaderWrapper,RequirementDescription,textEdit,Brief Description of this Requirement,Special Approvals and Affirmations of Requisitions,,,yes
HeaderWrapper,HeaderWrapper,PurchaseType,choiceList,,Special Approvals and Affirmations of Requisitions,Requisition Number|P-Card Log Number,,yes
HeaderWrapper,HeaderWrapper,Reviewer,textEdit,Reviewer,Special Approvals and Affirmations of Requisitions,,,yes
HeaderWrapper,HeaderWrapper,ApprovedDate,dateTimeEdit,Date,Special Approvals and Affirmations of Requisitions,,,yes
HeaderWrapper,HeaderWrapper,OtherCentersCheck,choiceList,Other Centers Impacted,Special Approvals and Affirmations of Requisitions,Yes|No,,yes
HeaderWrapper,OtherCentersSection,OtherCentersDropDown,choiceList,Other Impacted Centers,,ARC|AFRC|GRC|GSFC|HQ|JSC|KSC|LaRC|MSFC|NMO|NSSC|SSC,,yes
HeaderWrapper,OtherCentersSection,OtherCentersText,textEdit,,,,,yes
HeaderWrapper,ApproverApproval,ApproverConcurrence,textEdit,Approver Approval,,,,yes
HeaderWrapper,ApproverApproval,ApproverConcurrenceSig,signature,Approver Approval,,,,yes
HeaderWrapper,GRC1Approval,GRC1Concurrence,textEdit,Requisitioner Approval,,,GRC,yes
HeaderWrapper,GRC1Approval,GRC1ConcurrenceSig,signature,Requisitioner Approval,,,GRC,yes
HeaderWrapper,GRC1Approval,TaskOrder,checkButton,,"(This statement may be checked for task order or delivery order requirements to be issued under GRC Indefinite Delivery, Indefinite Quantity (IDIQ) contracts. Insert the signature date and PR No. from the appropriate, previously completed NF 1707. IMPORTANT NOTE: The previously completed NF 1707 being referenced must have a signature date that is later than the date appearing at the end of the first sentence below.)",1|0|2,GRC,yes
HeaderWrapper,GRC1Approval,TaskOrderInput1,textEdit,,"The specific statements and affirmations included on NF 1707 signed on for PR No. apply to this requirement as well, and represent all statements and affirmations required by the Agency and GRC as of March 2018. Therefore, Sections 1 through 12 below need not be completed.",,GRC,yes
HeaderWrapper,GRC1Approval,TaskOrderInput2,textEdit,,"The specific statements and affirmations included on NF 1707 signed on for PR No. apply to this requirement as well, and represent all statements and affirmations required by the Agency and GRC as of March 2018. Therefore, Sections 1 through 12 below need not be completed.",,GRC,yes
HeaderWrapper,GRC1Approval,VerifyAcquisition,checkButton,,Acquisition Forecast Utilization,1|0|2,GRC,yes
Section1,Section1,Available,checkButton,,SECTION 1 - NASA STRATEGIC SOURCING INITIATIVE (Ref. NFS 1808.003-72 and Office of Procurement Strategic Sourcing website),1|0|2,,yes
Section1,Section1,MandatoryContractNum,textEdit,,The requestor has reviewed the information on the Office of Procurement NASA Strategic Sourcing website and the requirementIS AVAILABLE through Contract Number,,,yes
Section1,Section1,NotAvailable,checkButton,,OR,1|0|2,,yes
Section2,Section2,CITRAuth,textEdit,I. CITR Authorization #:,Please complete ONLY ONE of the following subsections,,,yes
Section2,Section2,ORCAAuth,textEdit,II. ORCA Authorization #:,Please complete ONLY ONE of the following subsections,,,yes
Section2,Section2,UnderLimitNoIT,checkButton,,III.,1|0|2,,yes
Section2,Section2,NoITAuth,textEdit,No IT Authorization #:,OR,,,yes
Section2,Section2,NotReviewed,checkButton,,IV.,1|0|2,,yes
Section3,Section3,S3n1,checkButton,,The Green Procurement Compilation (GPC) identifies applicable federal green/sustainability requirements for products and services. The requestor has searched the GPC to identify applicable federal green/sustainable acquisition products and services.,1|0|2,,yes
Section3,Section3,S3n2,checkButton,,OR,1|0|2,,yes
Section3,Section3,S3n2s1,checkButton,,"Bio-based/Bio-preferred, USDA-designated Items:",1|0|2,,yes
Section3,Section3,S3n2s2,checkButton,,Energy Efficient:,1|0|2,,yes
Section3,Section3,S3n2s3,checkButton,,SmartWay Transportation Services (helping freight transportation companies improve transportation efficiency),1|0|2,,yes
Section3,Section3,S3n2s4,checkButton,,Environmentally Preferable: This procurement does acquire EPA-Designated Products or Services listed in the GPC in the following programs (check all that apply):,1|0|2,,yes
Section3,Section3,S3n2s5Yes,checkButton,Yes,Are there sufficient EPEAT Silver- or Gold-registered products available to meet NASA needs?,1|0|2,,yes
Section3,Section3,S3n2s5No,checkButton,No,Are there sufficient EPEAT Silver- or Gold-registered products available to meet NASA needs?,1|0|2,,yes
Section3,Section3,S3n2s6,checkButton,,Are there sufficient EPEAT Silver- or Gold-registered products available to meet NASA needs?,1|0|2,,yes
Section3,Section3,S3n2s7Yes,checkButton,Yes,Will NASA be able to independently verify the accuracy of contractor estimates of the amount and (if applicable) percentages of recovered material used in actual contract performance?,1|0|2,,yes
Section3,Section3,S3n2s7No,checkButton,No,Will NASA be able to independently verify the accuracy of contractor estimates of the amount and (if applicable) percentages of recovered material used in actual contract performance?,1|0|2,,yes
