Clause/Provision Number,Title,Date,Prescribed In,Provision or Clause,UCF,IBR or FT,Fill In,Mod or Sub,App Dev,Supply FP,Supply CR,R&D FP,R&D CR,Service FP,Service CR,Construction FP,Construction CR,Time & Material/ Labor Hour,Archetecture & Engineering,Idefinite Delivery,Transportation,Simplified Acquisition Procedures,Commercial Items
1852.203-70,Display of Inspector General Hotline Posters,SEP 2025 (DEVIATION),1803.7001,C,I,IBR,,,PCD 25-34,A,A,A,A,A,A,A,A,A,A,A,A,,
1852.203-71,Requirements to Inform Employees of Whistleblower Rights,SEP 2025 (DEVIATION),1803.97,C,I,IBR,,,PCD 25-34,R,R,R,R,R,R,R,R,R,R,R,R,R,
1852.208-81,Restrictions on Printing and Duplicating,SEP 2025 (DEVIATION),1808.57,C,H,IBR,,,PCD 25-18,A,A,,A,A,A,,,A,,A,A,A,
1852.208-82,Federal Automotive Statistical Tool Reporting,2026-03-01,1808.17,C,H,IBR,,,PCD 25-18A,,,,A,A,,,,A,,,A,,
1852.209-71,Limitation of Future Contracting,DEC 1998,1809.209-71,C,H,FT,X,X,,O,O,O,O,O,O,O,O,O,,O,O,O,
1852.214-70,Caution To Offerors Furnishing Descriptinve Literature,DEC 2025 (DEVIATION),1814.207-70 (a),P,L,IBR,,,PCD 25-39,A,,,,A,,A,,,,A,,,
1852.214-71,Award Grouping,DEC 2025 (DEVIATION),1814.207-70 (b),P,M,FT,X,,PCD 35-39,A,O,,,A,O,A,,O,,A,A,,
1852.215-77,Preproposal/Pre-bid Conference,APR 2015,1815.110-70(a),P,L,FT,X,,,A,A,A,A,A,A,A,A,A,,A,A,,
1852.215-78,Make or Buy Program Requirements,DEC 2025 (DEVIATION),1815.110-70(b),P,L,IBR,,,PCD 25-49,A,A,A,A,A,A,,,A,,A,,,
1852.215-79,"Price Adjustmen for ""Make-or-Buy"" Changes",JUN 2018,1815.110-70 ( c),C,I,FT,,,,A,A,A,A,A,A,,,A,,A,,,
1852.215-81,Proposal Page Limitations,APR 2015,1815.110-70 (d),P,l,FT,X,,,A,A,A,A,A,A,A,A,A,,A,A,A,
1852.215-84,Ombudsman,NOV 2023,1815.110-70 (e),C,I,IBR,,,,R,R,R,R,R,R,R,R,R,,R,R,R,R
1852.215-85,Proposal Adequacy Checklist,DEC 2025 (DEVIATION),1815.110-70(f),P,L,FT,,,PCD 25-49,A,A,A,A,A,A,A,A,A,A,A,A,,
1852.216-72,Award Term,AUG 2017,1816.406-70(g),C,I,FT,,,,A,,A,A,,A,,,A,A,A,,,
1852.216-73,Estimated Cost and Cost Sharing,DEC 2025 (DEVIATION),1816.307-70(a),C,B,FT,,,PCD 25-53,,,,A,,,,,,,,,,
1852.216-74,Estimated Cost and Fixed Fee,DEC 1991,1816.307-70 (b),C,B,FT,,,,,O,,O,,O,,O,,,,,,
1852.216-75,Payment of Fixed Fee,DEC 2025 (DEVIATION),1816.307-70 (c),C,G,IBR,,,PCD 25-53,,O,,O,,O,,O,,,,,,
1852.216-76,Award Fee for Service Contracts,DEC 2025 (DEVIATION),1816.406-70 (a),C,G,FT,,,PCD 25-53,,,A,A,A,A,,,A,A,A,,,
1852.216-77,Award Fee for End Item Contracts,DEC 2025 (DEVIATION),1816.406-70 (b),C,G,FT,,,PCD 25-53,,A,A,A,,,A,A,,,A,,,
1852.216-78,Firm Fixed Price,DEC 2025 (DEVIATION),1816.202-70,C,B,FT,,,PCD 25-53,,A,,A,,A,,A,,A,,,,
1852.216-80,Task Ordering Procedure,DEC 2025 (DEVIATION),1816.506-70,C,I,FT,,,PCD 25-53,,A,A,A,A,A,A,A,,,A,A,,
1852.216-80,Alternate 1,APR 2018,1816.506-70(a),C,I,FT,,,,,A,A,A,A,A,A,A,,,A,A,,AA
