citation,title,tier,source,effective_date,far_part,nfs_part,url,applies_to_phase
NFS 2026 Edition (interim),"NASA FAR Supplement, 2026 Edition, interim, last modified July 23, 2026 through PCD 26-03B",binding,NFS,"July 23, 2026",,,,all
NFS Companion Guide (interim),"NFS Companion Guide, established April 6, 2026, updated August 5, 2026",guidance,Companion Guide,"August 5, 2026",,,,all
NASA Source Selection Guide,"NASA Source Selection Guide, August 2026",guidance,OP Guide,August 2026,15,1815,,Solicitation/Quote; Technical Evaluation
NASA Award Fee Contracting Guide,"NASA Award Fee Contracting Guide, June 6, 2026",guidance,OP Guide,"June 6, 2026",16,1816,,Administration
Enterprise Procurement Strategies,"Enterprise Procurement Strategies, Rev. May 20, 2026 (A-100 through A-102.28)",binding,OP,"May 20, 2026",,,,Intake; Market Research
"OP memo, March 17, 2026","NASA Administrator’s Workforce Directive: Restoring NASA’s Core Competencies (right to repair, restrictive clauses, IP barriers)",binding,OP,"March 17, 2026",27,1827,,Intake; Solicitation/Quote; Administration
NFS CG 1804.11,Solicitation instructions: official versions housed in NCMS; contracting officers must use NCMS when developing new solicitations,guidance,Companion Guide,"August 5, 2026",,1804,,Solicitation/Quote
NFS CG 1815.18,Prescription for NASA solicitation instructions (Section L.1 Mission Suitability AUG 2026; L.1.1 OCI MAY 2026; L.2 Financial Capability DEC 2024; L.3 EFSS Box MAY 2026; M.1 AUG 2026; M.1.1 Responsibility and Eligibility MAY 2026),guidance,Companion Guide,August 2026,15,1815,,Solicitation/Quote
PCD 25-22A,Class Deviation from FAR Part 40 and NFS 1840 To Implement the Revolutionary FAR Overhaul,binding,PCD,"July 23, 2026",40,1840,,all
PCD 25-53B,Class Deviation from FAR Part 16 and NFS 1816 To Implement the Revolutionary FAR Overhaul,binding,PCD,"July 10, 2026",16,1816,,all
PCD 25-36A,Class Deviation from FAR Part 45 and NFS 1845 To Implement the Revolutionary FAR Overhaul,binding,PCD,"July 2, 2026",45,1845,,all
PCD 26-03B,Class Deviation from FAR Part 52 and NFS 1852 To Implement the Revolutionary FAR Overhaul,binding,PCD,"June 29, 2026",52,1852,,all
PCD 26-02A,Class Deviation from FAR Part 27 and NFS 1827 To Implement the Revolutionary FAR Overhaul,binding,PCD,"June 15, 2026",27,1827,,all
PCD 25-17B,Class Deviation from FAR Part 26 and NFS 1826 To Implement the Revolutionary FAR Overhaul,binding,PCD,"May 26, 2026",26,1826,,all
PCD 25-16A,Class Deviation from FAR Part 5 and NFS 1805 To Implement the Revolutionary FAR Overhaul,binding,PCD,"April 29, 2026",5,1805,,all
PCD 25-23A,Class Deviation from FAR Part 12 and NFS 1812 To Implement the Revolutionary FAR Overhaul,binding,PCD,"March 17, 2026",12,1812,,all
PCD 25-18A,Class Deviation from FAR Part 8 and NFS 1808 To Implement the Revolutionary FAR Overhaul,binding,PCD,"March 13, 2026",8,1808,,all
PCD 25-50A,Class Deviation from FAR Part 32 and NFS 1832 To Implement the Revolutionary FAR Overhaul,binding,PCD,"March 13, 2026",32,1832,,all
PCD 25-06A,Class Deviation from FAR Part 39 and NFS 1839 To Implement the Revolutionary FAR Overhaul,binding,PCD,"March 13, 2026",39,1839,,all
PCD 25-54A,Class Deviation from FAR Part 25 and NFS 1825 To Implement the Revolutionary FAR Overhaul,binding,PCD,"February 20, 2026",25,1825,,all
PCD 25-51A,Class Deviation from FAR Part 42 and NFS 1842 To Implement the Revolutionary FAR Overhaul,binding,PCD,"February 20, 2026",42,1842,,all
PCD 25-48A,Class Deviation from FAR Part 19 and NFS 1819 To Implement the Revolutionary FAR Overhaul,binding,PCD,"February 20, 2026",19,1819,,all
PCD 26-01,Class Deviation from FAR Part 2 To Implement the Revolutionary FAR Overhaul,binding,PCD,"January 17, 2026",2,,,all
PCD 25-52,Class Deviation from FAR Part 23 and NFS 1823 To Implement the Revolutionary FAR Overhaul,binding,PCD,"December 19, 2025",23,1823,,all
